transect,cam,transect_cam,mission,n_distance_annotations,reference_dir,n_reference_clips,status,note
67,144,67_cam144,M2,11,videos/reference/mission_2_phase_3_pss/EQUIPE_1/VIDEO_DE_REFERENCE/T_67/cam144,2,found,
74,4,74_cam004,M1,122,videos/reference/mission_1_phase_3_pss/E_I/video_reff/T_74/74_cam_04,5,found,
75,45,75_cam045,M1,303,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_86/Cam045,2,relabelled,folder transect label swapped: InfoCT places cam045 on T75
75,93,75_cam093,M1,28,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_86/Cam093,4,relabelled,folder transect label swapped: InfoCT places cam093 on T75
76,16,76_cam016,M1,1400,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_76/Cam016,2,found,
77,27,77_cam027,M2,106,videos/reference/mission_2_phase_3_pss/EQUIPE_1/VIDEO_DE_REFERENCE/T_77/cam27,3,found,
77,109,77_cam109,M2,138,videos/reference/mission_2_phase_3_pss/EQUIPE_1/VIDEO_DE_REFERENCE/T_77/cam109,4,found,
78,73,78_cam073,M2,41,videos/reference/mission_2_phase_3_pss/EQUIPE_1/VIDEO_DE_REFERENCE/T_78/cam73,4,recovered_from_regular_footage,ref folder empty on mount; retrieval-day clips (number boards/markers) copied from regular footage folder
78,101,78_cam101,M2,7,videos/reference/mission_2_phase_3_pss/EQUIPE_1/VIDEO_DE_REFERENCE/T_78/cam101,3,recovered_from_regular_footage,ref folder empty on mount; retrieval-day clips (number boards/markers) copied from regular footage folder
80,36,80_cam036,M1,39,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_80/80_Cam_036,3,found,
82,135,82_cam135,M1,20,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_82/82_Cam_135,2,found,
83,52,83_cam052,M1,65,videos/reference/mission_1_phase_3_pss/E_I/video_reff/T_83/83_cam_52,4,found,
84,70,84_cam070,M1,80,videos/reference/mission_1_phase_3_pss/E_I/video_reff/T_84/84_cam_70,4,found,
86,145,86_cam145,M1,665,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_75/Cam145,2,relabelled,folder transect label swapped: InfoCT places cam145 on T86
87,2,87_cam002,M2,1200,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_87/T87_Cam02,2,found,
88,76,88_cam076,M1,29,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_88/88_Cam_076,3,found,
89,80,89_cam080,M1,84,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_89/89_Cam_080,2,found,
91,64,91_cam064,M1,548,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_91/Cam064,2,found,
94,26,94_cam026,M2,33,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_94/T94_Cam26,2,found,
95,22,95_cam022,M2,133,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_95/T95_Cam22,2,found,
96,44,96_cam044,M1,258,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_96/96_Cam_044,3,found,
98,13,98_cam013,M1,315,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_98/98_Cam_013,4,found,
99,37,99_cam037,M1,4,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_99/99_Cam_037,3,found,
100,41,100_cam041,M1,50,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_100/Cam041,2,found,
101,72,101_cam072,M1,168,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_101/Cam072,2,found,
101,74,101_cam074,M1,68,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_101/Cam074,2,found,
102,14,102_cam014,M2,470,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_102/T102_Cam14,4,found,
102,33,102_cam033,M2,452,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_102/T102_Cam33,2,found,
